Australian Bureau of Statistics

"2021 Census - employment, income and education"
"Significant Urban Areas (UR) by 1-digit level LANP Language Used at Home"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"1-digit level LANP Language Used at Home","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"Significant Urban Areas (UR)",
"Not in any Significant Urban Area (NSW)",901604,8036,3008,2332,5294,5340,4320,1425,2314,912,87813,1022386,
"Albury - Wodonga",85230,711,475,230,3131,1208,542,88,770,167,5240,97793,
"Armidale",18981,245,39,483,806,290,297,43,190,259,2341,23967,
"Ballina",41850,615,98,69,265,299,255,68,87,37,2548,46190,
"Batemans Bay",15447,246,157,11,136,109,79,47,35,19,1235,17524,
"Bathurst",32811,201,95,187,803,355,239,52,148,38,2472,37396,
"Bowral - Mittagong",36704,640,297,162,904,398,369,5,73,40,2009,41600,
"Broken Hill",15519,87,19,28,100,179,37,52,36,11,1513,17588,
"Byron Bay",8700,900,59,49,28,91,123,5,7,14,935,10914,
"Camden Haven",17411,82,42,16,27,56,40,22,22,13,753,18484,
"Central Coast",303006,5252,2222,1252,3693,3570,4366,248,1393,388,17795,343180,
"Coffs Harbour",63282,652,181,671,2151,1253,677,200,617,153,4359,74195,
"Dubbo",33421,155,53,126,2166,432,344,143,246,75,3413,40578,
"Forster - Tuncurry",19123,147,48,47,154,154,83,19,22,10,1289,21087,
"Goulburn",21112,210,65,103,500,259,249,11,135,32,1879,24565,
"Grafton",17477,46,23,16,141,99,66,90,34,24,1243,19255,
"Griffith",13640,1218,18,294,2291,515,313,18,785,60,1418,20569,
"Kempsey",13256,39,9,13,96,85,48,111,21,4,1978,15654,
"Lismore",25441,322,52,69,298,253,212,104,152,31,1882,28816,
"Lithgow",10745,90,54,36,116,122,75,22,30,19,1073,12385,
"Medowie",13999,86,57,23,38,63,65,7,48,18,613,15020,
"Morisset - Cooranbong",25547,209,116,76,127,182,124,17,232,37,1163,27828,
"Mudgee",11354,92,33,13,136,100,48,14,27,26,721,12563,
"Muswellbrook",10700,53,26,19,149,153,75,10,55,19,1010,12272,
"Nelson Bay",25637,456,174,58,180,204,131,8,52,28,1492,28418,
"Newcastle - Maitland",452910,4988,3821,2419,6850,4847,5406,420,2629,698,23431,508437,
"Nowra - Bomaderry",33107,355,142,126,682,418,302,31,126,39,3359,38678,
"Orange",36713,302,208,150,1072,457,365,40,251,64,2308,41920,
"Port Macquarie",45540,424,177,136,563,432,346,78,108,74,2304,50193,
"Singleton",15461,63,28,13,112,238,83,11,46,19,943,17018,
"St Georges Basin - Sanctuary Point",17956,389,193,48,47,119,70,31,54,14,1173,20105,
"Sydney",2671602,239247,105733,336954,390197,267986,494869,1382,53058,11399,257620,4830047,
"Tamworth",37413,153,38,117,865,1002,541,173,245,53,3264,43874,
"Taree",23492,135,29,56,264,209,120,64,45,25,2079,26519,
"Ulladulla",15458,225,58,29,50,123,82,19,17,14,938,17026,
"Wagga Wagga",48751,296,100,1152,1503,854,517,140,545,206,2938,57003,
"Wollongong",251512,9937,10578,5340,4313,4205,4028,118,1436,375,13859,305691,
"Not in any Significant Urban Area (Vic.)",632880,7367,2697,1183,3757,5846,3569,157,1817,661,56131,716050,
"Bacchus Marsh",21416,448,286,78,987,199,106,6,152,48,989,24717,
"Bairnsdale",13810,133,31,29,153,239,100,9,35,22,1126,15684,
"Ballarat",98954,782,460,330,2917,957,1386,25,497,145,5519,111973,
"Bendigo",90464,557,166,424,2001,2546,830,42,391,160,5456,103034,
"Castlemaine",9664,118,31,10,41,49,41,0,47,12,1347,11352,
"Colac",11237,67,16,61,133,120,357,0,104,31,630,12756,
"Echuca - Moama",20380,132,21,26,296,199,95,23,38,13,1347,22568,
"Geelong",244456,5040,5772,2864,7479,4525,3316,43,1211,409,14512,289630,
"Gisborne",20337,377,147,55,115,64,90,9,32,21,955,22200,
"Horsham",15238,122,27,38,292,236,91,0,37,17,897,16985,
"Melbourne",2942330,264566,121364,208861,399683,237883,336574,615,61063,13805,231093,4817843,
