SUA,Population,Income
Not in any Significant Urban Area (NSW),1022386,1022386
Albury - Wodonga,97793,97793
Armidale,23967,23967
Ballina,46190,46190
Batemans Bay,17524,17524
Bathurst,37396,37396
Bowral - Mittagong,41600,41600
Broken Hill,17588,17588
Byron Bay,10914,10914
Camden Haven,18484,18484
Central Coast,343180,343180
Coffs Harbour,74195,74195
Dubbo,40578,40578
Forster - Tuncurry,21087,21087
Goulburn,24565,24565
Grafton,19255,19255
Griffith,20569,20569
Kempsey,15654,15654
Lismore,28816,28816
Lithgow,12385,12385
Medowie,15020,15020
Morisset - Cooranbong,27828,27828
Mudgee,12563,12563
Muswellbrook,12272,12272
Nelson Bay,28418,28418
Newcastle - Maitland,508437,508437
Nowra - Bomaderry,38678,38678
Orange,41920,41920
Port Macquarie,50193,50193
Singleton,17018,17018
St Georges Basin - Sanctuary Point,20105,20105
Sydney,4830047,4830047
Tamworth,43874,43874
Taree,26519,26519
Ulladulla,17026,17026
Wagga Wagga,57003,57003
Wollongong,305691,305691
Not in any Significant Urban Area (Vic.),716050,716050
Bacchus Marsh,24717,24717
Bairnsdale,15684,15684
Ballarat,111973,111973
Bendigo,103034,103034
Castlemaine,11352,11352
Colac,12756,12756
Echuca - Moama,22568,22568
Geelong,289630,289630
Gisborne,22200,22200
Horsham,16985,16985
Melbourne,4817843,4817843
Mildura - Buronga,53620,53620
Moe - Newborough,21997,21997
Portland,11230,11230
Sale,15301,15301
Shepparton - Mooroopna,53841,53841
Swan Hill,11186,11186
Traralgon - Morwell,43252,43252
Wangaratta,19882,19882
Warragul - Drouin,42827,42827
Warrnambool,35743,35743
Not in any Significant Urban Area (Qld),751871,751871
Airlie Beach - Cannonvale,14523,14523
Brisbane,2447280,2447280
Bundaberg,73747,73747
Cairns,153425,153425
Emerald,14089,14089
Gladstone,45185,45185
Gold Coast - Tweed Heads,693596,693596
Gympie,22424,22424
Hervey Bay,57722,57722
Kingaroy,10545,10545
Mackay,84333,84333
Maryborough,27489,27489
Mount Isa,18317,18317
Rockhampton,79293,79293
Sunshine Coast,382903,382903
Toowoomba,142163,142163
Townsville,179011,179011
Warwick,15525,15525
Yeppoon,20244,20244
Not in any Significant Urban Area (SA),272390,272390
Adelaide,1368209,1368209
Mount Gambier,29446,29446
Murray Bridge,18243,18243
Port Augusta,13515,13515
Port Lincoln,16307,16307
Port Pirie,13896,13896
Victor Harbor - Goolwa,28363,28363
Whyalla,21154,21154
Not in any Significant Urban Area (WA),283092,283092
Albany,35053,35053
Broome,14660,14660
Bunbury,76452,76452
Busselton,40544,40544
Esperance,12003,12003
Geraldton,38595,38595
Kalgoorlie - Boulder,29072,29072
Karratha,17013,17013
Perth,2098239,2098239
Port Hedland,15298,15298
Not in any Significant Urban Area (Tas.),165335,165335
Burnie - Somerset,27826,27826
Devonport,31721,31721
Hobart,226653,226653
Launceston,90953,90953
Ulverstone,15086,15086
Not in any Significant Urban Area (NT),79475,79475
Alice Springs,25912,25912
Darwin,127215,127215
Not in any Significant Urban Area (ACT),1666,1666
Canberra - Queanbeyan,490517,490517
Not in any Significant Urban Area (OT),4788,4788
